일자,시가_원,고가_원,저가_원,종가_원,거래량_주,등락률_pct,NAV_원,괴리율_pct,설정좌수,환매좌수,상장좌수,시가총액_원,시가총액_억원,순자산가치_AUM_원,순자산가치_AUM_억원
2025-11-14,12371,12405,12267,12292,1876232,-0.6385902513943901,12614.58,-0.12,0.0,950000.0,177550000.0,2182444600000,21824.45,2239718679000,22397.19
2025-11-17,12292,12342,12262,12327,1037576,0.2847380410022779,12636.28,-0.01,50000.0,500000.0,176600000.0,2176948200000,21769.48,2231567048000,22315.67
2025-11-18,12292,12297,12195,12204,1226740,-0.9978096860550012,12581.88,-0.57,100000.0,550000.0,176150000.0,2149734600000,21497.35,2216298162000,22162.98
2025-11-19,12287,12347,12267,12342,1014377,1.1307767944936087,12652.08,-0.02,50000.0,100000.0,175700000.0,2168489400000,21684.89,2222970456000,22229.7
2025-11-20,12342,12347,12264,12307,1025261,-0.28358450818343867,12566.54,0.39,50000.0,0.0,175650000.0,2161724550000,21617.25,2207312751000,22073.13
2025-11-21,12223,12223,12145,12200,947984,-0.8694239050946616,12491.14,0.11,0.0,700000.0,175700000.0,2143540000000,21435.4,2194693298000,21946.93
2025-11-24,12347,12391,12322,12381,1522203,1.4836065573770492,12721.92,-0.25,50000.0,100000.0,175000000.0,2166675000000,21666.75,2226336000000,22263.36
2025-11-25,12381,12381,12292,12312,979526,-0.5573055488248122,12629.23,-0.07,0.0,0.0,174950000.0,2153984400000,21539.84,2209483788500,22094.84
2025-11-26,12391,12420,12342,12401,817977,0.7228719948018193,12689.27,0.16,250000.0,0.0,174950000.0,2169554950000,21695.55,2219987786500,22199.88
2025-11-27,12469,12489,12440,12459,774862,0.46770421740182244,12750.01,-0.12,0.0,50000.0,175200000.0,2182816800000,21828.17,2233801752000,22338.02
2025-11-28,12464,12493,12449,12489,652092,0.24078979051288227,12799.58,-0.27,0.0,200000.0,175150000.0,2187448350000,21874.48,2241846437000,22418.46
2025-12-01,12513,12550,12513,12541,1033084,0.416366402434142,12868.04,-0.37,0.0,0.0,174950000.0,2194047950000,21940.48,2251263598000,22512.64
2025-12-02,12541,12550,12489,12498,1081114,-0.3428753687903676,12802.49,-0.21,0.0,0.0,174950000.0,2186525100000,21865.25,2239795625500,22397.96
2025-12-03,12498,12508,12454,12479,793101,-0.1520243238918227,12742.16,0.1,100000.0,0.0,174950000.0,2183201050000,21832.01,2229240892000,22292.41
2025-12-04,12610,12664,12600,12649,1171704,1.3622886449234715,12981.28,-0.4,150000.0,0.0,175050000.0,2214207450000,22142.07,2272373064000,22723.73
2025-12-05,12649,12669,12639,12644,884662,-0.03952881650723377,12916.25,0.07,0.0,100000.0,175200000.0,2215228800000,22152.29,2262927000000,22629.27
2025-12-08,12649,12649,12585,12600,1290819,-0.34799114204365705,12880.1,-0.0,50000.0,100000.0,175100000.0,2206260000000,22062.6,2255305510000,22553.06
2025-12-09,12580,12580,12555,12575,917938,-0.1984126984126984,12862.46,-0.06,200000.0,0.0,175050000.0,2201253750000,22012.54,2251573623000,22515.74
2025-12-10,12575,12575,12503,12513,1168760,-0.49304174950298213,12794.0,-0.03,50000.0,200000.0,175250000.0,2192903250000,21929.03,2242148500000,22421.48
2025-12-11,12654,12669,12639,12664,1084475,1.206744985215376,12995.97,-0.39,50000.0,200000.0,175100000.0,2217466400000,22174.66,2275594347000,22755.94
